country,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belgium,992.0,936.0,942.0,933.0,921.0,875.0,877.0,876.0,878.0,881.0,873.0,879.0,879.0,879.0,879.0,872.0,877.0,885.0,870.0,894.0,943.0,982.0,972.0,998.0,1031.0,1064.0,1024.0,989.0,1021.0,1000.0,984.0,984.0,990.0,1000.0,1042.0,1042.0,1070.0,1080.0,1052.0,1102.0,1108.0,1090.0,1122.0,1187.0,1200.0,1222.0,1209.0,1201.0,1140.0,1132.0,1209.0,1265.0,1240.0,1257.0,1254.0,1175.0,1208.0,1192.0,1155.0,1179.0,1220.0,1192.0,1188.0,1251.0,1210.0,1188.0,1193.0,1197.0,1226.0,1246.0,1212.0,1230.0,1270.0,1266.0,1289.0,1224.0,1192.0,1167.0,1142.0,1144.0,1097.0,1112.0,1169.0,1231.0,1290.0,1373.0,1398.0,1392.0,1418.0,1519.0,1553.0,1578.0,1528.0
France,987.0,940.0,942.0,914.0,923.0,947.0,950.0,955.0,951.0,975.0,1008.0,1016.0,1016.0,998.0,998.0,1005.0,977.0,1007.0,1044.0,1043.0,1018.0,1007.0,1023.0,1049.0,1080.0,1096.0,1122.0,1144.0,1136.0,1186.0,1199.0,1140.0,1076.0,1059.0,1060.0,1051.0,1084.0,1055.0,1051.0,1015.0,1060.0,1088.0,1095.0,1102.0,1085.0,1100.0,1093.0,1120.0,1158.0,1203.0,1228.0,1235.0,1208.0,1257.0,1259.0,1400.0,1350.0,1308.0,1241.0,1232.0,1233.0,1293.0,1355.0,1271.0,1258.0,1281.0,1315.0,1364.0,1386.0,1479.0,1446.0,1495.0,1498.0,1402.0,1498.0,1434.0,1424.0,1488.0,1444.0,1371.0,1376.0,1286.0,1316.0,1360.0,1344.0,1417.0,1413.0,1480.0,1465.0,1567.0,1537.0,1589.0,1592.0
Brazil,0.0,1028.0,1047.0,1063.0,1063.0,1012.0,1012.0,1029.0,1057.0,1125.0,1132.0,1102.0,1102.0,1098.0,1098.0,1125.0,1211.0,1205.0,1212.0,1189.0,1236.0,1251.0,1251.0,1271.0,1203.0,1239.0,1245.0,1283.0,1245.0,1344.0,1314.0,1324.0,1344.0,1423.0,1237.0,1239.0,1284.0,1233.0,1239.0,1272.0,1321.0,1439.0,1412.0,1423.0,1409.0,1346.0,1355.0,1398.0,1386.0,1431.0,1355.0,1361.0,1387.0,1416.0,1296.0,1291.0,1265.0,1352.0,1322.0,1339.0,1380.0,1347.0,1324.0,1346.0,1313.0,1424.0,1466.0,1458.0,1552.0,1463.0,1494.0,1443.0,1281.0,1461.0,1407.0,1370.0,1418.0,1473.0,1476.0,1434.0,1504.0,1505.0,1485.0,1484.0,1566.0,1535.0,1510.0,1521.0,1533.0,1563.0,1525.0,1558.0,1596.0
Spain,1041.0,1056.0,1055.0,1063.0,1066.0,1100.0,1113.0,1100.0,1085.0,1073.0,1073.0,1073.0,1084.0,1089.0,1089.0,1089.0,1092.0,1079.0,1043.0,1058.0,1064.0,1088.0,1096.0,1099.0,1116.0,1105.0,1093.0,1080.0,1107.0,1116.0,1140.0,1151.0,1202.0,1160.0,1133.0,1207.0,1191.0,1166.0,1169.0,1156.0,1132.0,1174.0,1183.0,1202.0,1197.0,1220.0,1216.0,1233.0,1249.0,1270.0,1213.0,1165.0,1190.0,1192.0,1221.0,1216.0,1230.0,1319.0,1307.0,1261.0,1275.0,1288.0,1229.0,1239.0,1301.0,1345.0,1356.0,1377.0,1386.0,1329.0,1373.0,1344.0,1369.0,1405.0,1401.0,1376.0,1373.0,1340.0,1402.0,1523.0,1542.0,1574.0,1563.0,1585.0,1548.0,1442.0,1487.0,1444.0,1488.0,1465.0,1483.0,1496.0,1497.0
Portugal,962.0,966.0,968.0,978.0,981.0,954.0,958.0,947.0,961.0,962.0,952.0,944.0,941.0,953.0,953.0,953.0,943.0,966.0,969.0,972.0,973.0,965.0,948.0,942.0,954.0,951.0,956.0,988.0,972.0,962.0,993.0,1005.0,978.0,978.0,980.0,1006.0,1078.0,1226.0,1205.0,1178.0,1107.0,1114.0,1105.0,1185.0,1158.0,1154.0,1150.0,1159.0,1181.0,1217.0,1187.0,1190.0,1126.0,1154.0,1208.0,1218.0,1193.0,1154.0,1148.0,1153.0,1171.0,1203.0,1193.0,1188.0,1225.0,1260.0,1261.0,1262.0,1272.0,1276.0,1293.0,1383.0,1391.0,1337.0,1346.0,1355.0,1358.0,1353.0,1338.0,1276.0,1330.0,1347.0,1351.0,1363.0,1398.0,1398.0,1407.0,1410.0,1479.0,1459.0,1475.0,1515.0,1452.0
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.0,966.0,966.0,966.0,966.0,966.0,966.0,930.0,930.0,851.0,851.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,795.0,822.0,822.0,822.0,822.0,874.0,882.0,842.0,842.0,833.0,839.0,839.0,837.0,834.0,832.0,832.0,830.0,884.0,884.0,1002.0,993.0,963.0,963.0,983.0,979.0,978.0,978.0,987.0,991.0,1068.0,1068.0,1129.0,1163.0,1189.0,1162.0,1149.0,1162.0,1286.0,1258.0,1229.0,1284.0,1186.0,1170.0,1188.0,1216.0,1321.0,1299.0,1197.0,1249.0,1231.0,1250.0,1326.0,1221.0,1235.0,1231.0,1259.0,1340.0,1373.0,1453.0,1417.0,1406.0,1386.0,1420.0,1459.0,1411.0,1388.0
Germany,1049.0,1044.0,1020.0,1021.0,1035.0,1127.0,1159.0,1142.0,1201.0,1126.0,1142.0,1136.0,1146.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1164.0,1171.0,1168.0,1176.0,1187.0,1262.0,1220.0,1159.0,1183.0,1151.0,1139.0,1150.0,1169.0,1200.0,1194.0,1169.0,1200.0,1297.0,1266.0,1271.0,1286.0,1315.0,1323.0,1389.0,1372.0,1424.0,1392.0,1408.0,1402.0,1335.0,1353.0,1408.0,1411.0,1334.0,1316.0,1306.0,1253.0,1295.0,1307.0,1338.0,1345.0,1419.0,1427.0,1356.0,1379.0,1381.0,1389.0,1417.0,1419.0,1377.0,1331.0,1312.0,1301.0,1378.0,1342.0,1329.0,1371.0,1455.0,1435.0,1437.0,1426.0,1478.0,1499.0,1484.0,1507.0,1555.0,1506.0,1489.0,1555.0,1433.0,1455.0,1454.0,1451.0
Netherlands,971.0,943.0,967.0,978.0,947.0,957.0,982.0,995.0,1006.0,988.0,988.0,970.0,970.0,970.0,970.0,970.0,970.0,977.0,993.0,1006.0,1008.0,948.0,935.0,921.0,904.0,899.0,947.0,995.0,1013.0,1062.0,1049.0,1039.0,1022.0,1018.0,990.0,1021.0,986.0,1020.0,1008.0,1002.0,1033.0,1055.0,1091.0,1130.0,1156.0,1331.0,1301.0,1305.0,1343.0,1350.0,1340.0,1235.0,1236.0,1216.0,1231.0,1196.0,1227.0,1234.0,1280.0,1346.0,1361.0,1276.0,1298.0,1307.0,1341.0,1318.0,1286.0,1321.0,1302.0,1366.0,1342.0,1417.0,1397.0,1435.0,1396.0,1353.0,1384.0,1412.0,1370.0,1432.0,1450.0,1542.0,1497.0,1418.0,1431.0,1445.0,1352.0,1346.0,1362.0,1438.0,1450.0,1447.0,1425.0
Argentina,1074.0,1133.0,1142.0,1139.0,1145.0,1117.0,1127.0,1140.0,1195.0,1207.0,1197.0,1221.0,1265.0,1261.0,1248.0,1248.0,1254.0,1317.0,1336.0,1336.0,1336.0,1338.0,1325.0,1331.0,1337.0,1324.0,1347.0,1331.0,1309.0,1223.0,1274.0,1311.0,1267.0,1264.0,1208.0,1229.0,1262.0,1249.0,1221.0,1180.0,1141.0,1151.0,1198.0,1201.0,1226.0,1198.0,1198.0,1239.0,1247.0,1374.0,1299.0,1317.0,1322.0,1272.0,1252.0,1236.0,1217.0,1362.0,1263.0,1237.0,1187.0,1233.0,1334.0,1383.0,1342.0,1290.0,1285.0,1235.0,1251.0,1339.0,1334.0,1390.0,1410.0,1389.0,1404.0,1426.0,1371.0,1410.0,1439.0,1397.0,1346.0,1448.0,1384.0,1457.0,1446.0,1495.0,1478.0,1498.0,1467.0,1419.0,1450.0,1465.0,1556.0
Italy,1013.0,1033.0,1078.0,1065.0,1119.0,1213.0,1201.0,1219.0,1225.0,1302.0,1283.0,1281.0,1281.0,1290.0,1290.0,1290.0,1284.0,1289.0,1288.0,1278.0,1274.0,1241.0,1232.0,1219.0,1201.0,1167.0,1176.0,1190.0,1155.0,1115.0,1105.0,1095.0,1139.0,1169.0,1198.0,1209.0,1201.0,1211.0,1234.0,1257.0,1278.0,1311.0,1305.0,1247.0,1298.0,1237.0,1255.0,1272.0,1266.0,1300.0,1305.0,1351.0,1278.0,1341.0,1218.0,1237.0,1229.0,1253.0,1290.0,1326.0,1322.0,1407.0,1349.0,1351.0,1372.0,1366.0,1372.0,1349.0,1359.0,1412.0,1331.0,1396.0,1400.0,1289.0,1334.0,1340.0,1360.0,1434.0,1458.0,1435.0,1408.0,1314.0,1355.0,1381.0,1388.0,1360.0,1352.0,1411.0,1378.0,1383.0,1444.0,1474.0,1515.0
